Level,Description,SeriesRefSNDQ,Quarter,Weight,Amount
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1993Q3,0.0740884,1987.647
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1993Q3,0.0494887,1930.106
Industry groups,Administrative and support services,SG01RSC04B01MN2,1993Q3,0.0139094,546.802
Industry groups,Local Government administration,SG01RSC04B01OO1,1993Q3,0.0052641,171.757
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1993Q3,0.0384731,1197.948
Industry groups,Education and training,SG01RSC04B01PP1,1993Q3,0.0399740,1681.022
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1993Q3,0.0434436,1463.695
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1993Q3,0.0106225,365.130
Industry groups,Other services,SG01RSC04B01RS2,1993Q3,0.0169469,504.905
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1993Q3,0.0705460,1950.093
Industry groups,Agriculture,SG01RSC04B01AA1,1993Q4,0.0507368,1785.086
Industry groups,Forestry and logging,SG01RSC04B01AA2,1993Q4,0.0134082,194.658
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1993Q4,0.0091133,286.622
Industry groups,Mining,SG01RSC04B01BB1,1993Q4,0.0137555,676.092
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1993Q4,0.0553027,1156.070
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1993Q4,0.0107858,273.228
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1993Q4,0.0180469,418.666
Industry groups,Printing,SG01RSC04B01CC4,1993Q4,0.0068038,193.058
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1993Q4,0.0364135,883.372
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1993Q4,0.0058345,158.175
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1993Q4,0.0200692,557.118
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1993Q4,0.0214171,743.811
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1993Q4,0.0047012,172.058
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1993Q4,0.0305941,1161.571
Industry groups,Construction,SG01RSC04B01EE1,1993Q4,0.0359270,1248.567
Industry groups,Wholesale trade,SG01RSC04B01FF1,1993Q4,0.0550565,1596.350
Industry groups,Retail trade,SG01RSC04B01GH1,1993Q4,0.0467911,1213.104
Industry groups,Accommodation services,SG01RSC04B01GH2,1993Q4,0.0164506,658.902
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1993Q4,0.0518636,1194.963
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1993Q4,0.0397334,551.244
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1993Q4,0.0450688,1500.096
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1993Q4,0.0493695,1882.972
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1993Q4,0.0740884,1993.379
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1993Q4,0.0494887,2003.566
Industry groups,Administrative and support services,SG01RSC04B01MN2,1993Q4,0.0139094,571.346
Industry groups,Local Government administration,SG01RSC04B01OO1,1993Q4,0.0052641,168.746
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1993Q4,0.0384731,1210.994
Industry groups,Education and training,SG01RSC04B01PP1,1993Q4,0.0399740,1699.285
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1993Q4,0.0434436,1477.485
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1993Q4,0.0106225,361.255
Industry groups,Other services,SG01RSC04B01RS2,1993Q4,0.0169469,523.491
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1993Q4,0.0705460,1991.979
Industry groups,Agriculture,SG01RSC04B01AA1,1994Q1,0.0507368,1794.294
Industry groups,Forestry and logging,SG01RSC04B01AA2,1994Q1,0.0134082,211.232
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1994Q1,0.0091133,289.360
Industry groups,Mining,SG01RSC04B01BB1,1994Q1,0.0137555,637.466
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1994Q1,0.0553027,1163.271
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1994Q1,0.0107858,284.164
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1994Q1,0.0180469,421.038
Industry groups,Printing,SG01RSC04B01CC4,1994Q1,0.0068038,207.648
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1994Q1,0.0364135,896.987
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1994Q1,0.0058345,158.016
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1994Q1,0.0200692,575.033
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1994Q1,0.0214171,763.336
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1994Q1,0.0047012,180.650
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1994Q1,0.0305941,1224.265
Industry groups,Construction,SG01RSC04B01EE1,1994Q1,0.0359270,1196.584
Industry groups,Wholesale trade,SG01RSC04B01FF1,1994Q1,0.0550565,1703.868
Industry groups,Retail trade,SG01RSC04B01GH1,1994Q1,0.0467911,1241.804
Industry groups,Accommodation services,SG01RSC04B01GH2,1994Q1,0.0164506,668.398
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1994Q1,0.0518636,1257.232
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1994Q1,0.0397334,578.864
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1994Q1,0.0450688,1516.145
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1994Q1,0.0493695,1929.598
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1994Q1,0.0740884,1989.099
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1994Q1,0.0494887,2032.329
Industry groups,Administrative and support services,SG01RSC04B01MN2,1994Q1,0.0139094,593.054
Industry groups,Local Government administration,SG01RSC04B01OO1,1994Q1,0.0052641,169.713
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1994Q1,0.0384731,1212.820
Industry groups,Education and training,SG01RSC04B01PP1,1994Q1,0.0399740,1716.234
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1994Q1,0.0434436,1486.813
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1994Q1,0.0106225,406.276
Industry groups,Other services,SG01RSC04B01RS2,1994Q1,0.0169469,547.570
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1994Q1,0.0705460,2020.984
Industry groups,Agriculture,SG01RSC04B01AA1,1994Q2,0.0459274,1654.881
Industry groups,Forestry and logging,SG01RSC04B01AA2,1994Q2,0.0106098,209.561
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1994Q2,0.0085406,286.612
Industry groups,Mining,SG01RSC04B01BB1,1994Q2,0.0121190,608.282
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1994Q2,0.0548977,1181.596
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1994Q2,0.0105634,292.198
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1994Q2,0.0200734,417.213
Industry groups,Printing,SG01RSC04B01CC4,1994Q2,0.0069426,201.133
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1994Q2,0.0392051,925.663
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1994Q2,0.0063766,169.838
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1994Q2,0.0193214,570.896
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1994Q2,0.0219723,779.489
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1994Q2,0.0051934,186.115
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1994Q2,0.0295518,1180.765
Industry groups,Construction,SG01RSC04B01EE1,1994Q2,0.0391560,1313.004
Industry groups,Wholesale trade,SG01RSC04B01FF1,1994Q2,0.0552540,1684.290
Industry groups,Retail trade,SG01RSC04B01GH1,1994Q2,0.0471322,1275.754
Industry groups,Accommodation services,SG01RSC04B01GH2,1994Q2,0.0178629,686.681
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1994Q2,0.0532403,1316.569
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1994Q2,0.0398255,594.541
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1994Q2,0.0450668,1512.545
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1994Q2,0.0507076,1895.385
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1994Q2,0.0717930,1978.120
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1994Q2,0.0515903,1980.996
Industry groups,Administrative and support services,SG01RSC04B01MN2,1994Q2,0.0143817,581.194
Industry groups,Local Government administration,SG01RSC04B01OO1,1994Q2,0.0048869,162.336
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1994Q2,0.0350076,1206.345
Industry groups,Education and training,SG01RSC04B01PP1,1994Q2,0.0387527,1734.017
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1994Q2,0.0423560,1481.375
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1994Q2,0.0107983,411.473
Industry groups,Other services,SG01RSC04B01RS2,1994Q2,0.0170456,526.101
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1994Q2,0.0738481,2083.499
Industry groups,Agriculture,SG01RSC04B01AA1,1994Q3,0.0459274,1758.113
Industry groups,Forestry and logging,SG01RSC04B01AA2,1994Q3,0.0106098,215.881
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1994Q3,0.0085406,285.222
Industry groups,Mining,SG01RSC04B01BB1,1994Q3,0.0121190,562.877
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1994Q3,0.0548977,1210.727
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1994Q3,0.0105634,281.435
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1994Q3,0.0200734,430.071
Industry groups,Printing,SG01RSC04B01CC4,1994Q3,0.0069426,208.763
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1994Q3,0.0392051,946.635
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1994Q3,0.0063766,175.058
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1994Q3,0.0193214,603.394
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1994Q3,0.0219723,840.522
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1994Q3,0.0051934,188.885
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1994Q3,0.0295518,1317.384
Industry groups,Construction,SG01RSC04B01EE1,1994Q3,0.0391560,1367.717
Industry groups,Wholesale trade,SG01RSC04B01FF1,1994Q3,0.0552540,1701.719
Industry groups,Retail trade,SG01RSC04B01GH1,1994Q3,0.0471322,1305.214
Industry groups,Accommodation services,SG01RSC04B01GH2,1994Q3,0.0178629,704.001
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1994Q3,0.0532403,1281.846
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1994Q3,0.0398255,603.502
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1994Q3,0.0450668,1528.079
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1994Q3,0.0507076,1900.569
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1994Q3,0.0717930,1986.502
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1994Q3,0.0515903,1952.063
Industry groups,Administrative and support services,SG01RSC04B01MN2,1994Q3,0.0143817,574.008
Industry groups,Local Government administration,SG01RSC04B01OO1,1994Q3,0.0048869,159.770
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1994Q3,0.0350076,1222.917
Industry groups,Education and training,SG01RSC04B01PP1,1994Q3,0.0387527,1745.024
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1994Q3,0.0423560,1501.772
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1994Q3,0.0107983,410.733
Industry groups,Other services,SG01RSC04B01RS2,1994Q3,0.0170456,536.496
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1994Q3,0.0738481,2129.551
Industry groups,Agriculture,SG01RSC04B01AA1,1994Q4,0.0459274,1753.878
Industry groups,Forestry and logging,SG01RSC04B01AA2,1994Q4,0.0106098,212.706
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1994Q4,0.0085406,293.570
Industry groups,Mining,SG01RSC04B01BB1,1994Q4,0.0121190,566.510
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1994Q4,0.0548977,1223.064
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1994Q4,0.0105634,295.499
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1994Q4,0.0200734,444.509
Industry groups,Printing,SG01RSC04B01CC4,1994Q4,0.0069426,225.019
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1994Q4,0.0392051,959.445
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1994Q4,0.0063766,175.975
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1994Q4,0.0193214,613.798
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1994Q4,0.0219723,832.747
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1994Q4,0.0051934,187.906
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1994Q4,0.0295518,1267.191
Industry groups,Construction,SG01RSC04B01EE1,1994Q4,0.0391560,1384.841
Industry groups,Wholesale trade,SG01RSC04B01FF1,1994Q4,0.0552540,1739.969
Industry groups,Retail trade,SG01RSC04B01GH1,1994Q4,0.0471322,1313.015
Industry groups,Accommodation services,SG01RSC04B01GH2,1994Q4,0.0178629,722.708
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1994Q4,0.0532403,1342.170
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1994Q4,0.0398255,627.086
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1994Q4,0.0450668,1572.564
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1994Q4,0.0507076,1899.702
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1994Q4,0.0717930,2022.720
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1994Q4,0.0515903,1985.019
Industry groups,Administrative and support services,SG01RSC04B01MN2,1994Q4,0.0143817,595.024
Industry groups,Local Government administration,SG01RSC04B01OO1,1994Q4,0.0048869,160.452
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1994Q4,0.0350076,1195.077
Industry groups,Education and training,SG01RSC04B01PP1,1994Q4,0.0387527,1752.538
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1994Q4,0.0423560,1516.077
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1994Q4,0.0107983,425.159
Industry groups,Other services,SG01RSC04B01RS2,1994Q4,0.0170456,542.094
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1994Q4,0.0738481,2160.482
Industry groups,Agriculture,SG01RSC04B01AA1,1995Q1,0.0459274,1723.454
Industry groups,Forestry and logging,SG01RSC04B01AA2,1995Q1,0.0106098,207.272
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1995Q1,0.0085406,308.869
Industry groups,Mining,SG01RSC04B01BB1,1995Q1,0.0121190,554.115
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1995Q1,0.0548977,1220.884
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1995Q1,0.0105634,283.490
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1995Q1,0.0200734,453.944
Industry groups,Printing,SG01RSC04B01CC4,1995Q1,0.0069426,213.465
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1995Q1,0.0392051,947.834
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1995Q1,0.0063766,192.673
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1995Q1,0.0193214,639.843
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1995Q1,0.0219723,866.280
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1995Q1,0.0051934,193.075
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1995Q1,0.0295518,1232.530
Industry groups,Construction,SG01RSC04B01EE1,1995Q1,0.0391560,1451.575
Industry groups,Wholesale trade,SG01RSC04B01FF1,1995Q1,0.0552540,1776.364
Industry groups,Retail trade,SG01RSC04B01GH1,1995Q1,0.0471322,1320.735
Industry groups,Accommodation services,SG01RSC04B01GH2,1995Q1,0.0178629,713.861
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1995Q1,0.0532403,1386.913
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1995Q1,0.0398255,632.459
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1995Q1,0.0450668,1602.421
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1995Q1,0.0507076,1919.320
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1995Q1,0.0717930,2078.430
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1995Q1,0.0515903,2109.517
Industry groups,Administrative and support services,SG01RSC04B01MN2,1995Q1,0.0143817,627.044
Industry groups,Local Government administration,SG01RSC04B01OO1,1995Q1,0.0048869,164.348
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1995Q1,0.0350076,1204.629
Industry groups,Education and training,SG01RSC04B01PP1,1995Q1,0.0387527,1757.452
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1995Q1,0.0423560,1540.216
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1995Q1,0.0107983,441.261
Industry groups,Other services,SG01RSC04B01RS2,1995Q1,0.0170456,575.281
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1995Q1,0.0738481,2186.876
Industry groups,Agriculture,SG01RSC04B01AA1,1995Q2,0.0453697,1839.093
Industry groups,Forestry and logging,SG01RSC04B01AA2,1995Q2,0.0102935,212.512
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1995Q2,0.0088423,317.829
Industry groups,Mining,SG01RSC04B01BB1,1995Q2,0.0112127,538.046
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1995Q2,0.0524956,1230.485
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1995Q2,0.0103778,275.459
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1995Q2,0.0209034,443.132
Industry groups,Printing,SG01RSC04B01CC4,1995Q2,0.0070352,222.359
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1995Q2,0.0335357,905.178
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1995Q2,0.0063262,181.761
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1995Q2,0.0193815,619.079
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1995Q2,0.0221184,844.973
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1995Q2,0.0048327,186.547
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1995Q2,0.0273793,1338.691
Industry groups,Construction,SG01RSC04B01EE1,1995Q2,0.0416344,1508.675
Industry groups,Wholesale trade,SG01RSC04B01FF1,1995Q2,0.0560645,1842.214
Industry groups,Retail trade,SG01RSC04B01GH1,1995Q2,0.0467210,1327.788
Industry groups,Accommodation services,SG01RSC04B01GH2,1995Q2,0.0180816,797.134
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1995Q2,0.0540741,1416.616
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1995Q2,0.0424079,645.973
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1995Q2,0.0401640,1593.536
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1995Q2,0.0515865,1961.888
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1995Q2,0.0751390,2050.660
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1995Q2,0.0547344,2043.923
Industry groups,Administrative and support services,SG01RSC04B01MN2,1995Q2,0.0154970,600.886
Industry groups,Local Government administration,SG01RSC04B01OO1,1995Q2,0.0047938,167.940
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1995Q2,0.0340140,1203.824
Industry groups,Education and training,SG01RSC04B01PP1,1995Q2,0.0393389,1764.459
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1995Q2,0.0428286,1574.544
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1995Q2,0.0114010,447.896
Industry groups,Other services,SG01RSC04B01RS2,1995Q2,0.0174796,571.043
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1995Q2,0.0739358,2192.534
Industry groups,Agriculture,SG01RSC04B01AA1,1995Q3,0.0453697,1810.047
Industry groups,Forestry and logging,SG01RSC04B01AA2,1995Q3,0.0102935,214.327
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1995Q3,0.0088423,323.117
Industry groups,Mining,SG01RSC04B01BB1,1995Q3,0.0112127,639.823
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1995Q3,0.0524956,1227.976
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1995Q3,0.0103778,267.811
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1995Q3,0.0209034,428.622
Industry groups,Printing,SG01RSC04B01CC4,1995Q3,0.0070352,223.736
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1995Q3,0.0335357,929.415
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1995Q3,0.0063262,185.129
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1995Q3,0.0193815,613.424
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1995Q3,0.0221184,823.779
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1995Q3,0.0048327,176.768
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1995Q3,0.0273793,1293.342
Industry groups,Construction,SG01RSC04B01EE1,1995Q3,0.0416344,1480.340
Industry groups,Wholesale trade,SG01RSC04B01FF1,1995Q3,0.0560645,1857.764
Industry groups,Retail trade,SG01RSC04B01GH1,1995Q3,0.0467210,1342.827
Industry groups,Accommodation services,SG01RSC04B01GH2,1995Q3,0.0180816,720.784
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1995Q3,0.0540741,1473.420
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1995Q3,0.0424079,668.536
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1995Q3,0.0401640,1607.650
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1995Q3,0.0515865,1999.484
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1995Q3,0.0751390,2053.018
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1995Q3,0.0547344,2168.525
Industry groups,Administrative and support services,SG01RSC04B01MN2,1995Q3,0.0154970,630.709
Industry groups,Local Government administration,SG01RSC04B01OO1,1995Q3,0.0047938,168.384
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1995Q3,0.0340140,1207.695
Industry groups,Education and training,SG01RSC04B01PP1,1995Q3,0.0393389,1777.331
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1995Q3,0.0428286,1583.687
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1995Q3,0.0114010,467.293
Industry groups,Other services,SG01RSC04B01RS2,1995Q3,0.0174796,587.415
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1995Q3,0.0739358,2214.142
Industry groups,Agriculture,SG01RSC04B01AA1,1995Q4,0.0453697,1864.038
Industry groups,Forestry and logging,SG01RSC04B01AA2,1995Q4,0.0102935,213.327
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1995Q4,0.0088423,322.685
Industry groups,Mining,SG01RSC04B01BB1,1995Q4,0.0112127,582.130
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1995Q4,0.0524956,1278.422
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1995Q4,0.0103778,278.588
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1995Q4,0.0209034,421.840
Industry groups,Printing,SG01RSC04B01CC4,1995Q4,0.0070352,223.835
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1995Q4,0.0335357,878.683
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1995Q4,0.0063262,189.383
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1995Q4,0.0193815,607.021
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1995Q4,0.0221184,881.467
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1995Q4,0.0048327,178.030
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1995Q4,0.0273793,1323.224
Industry groups,Construction,SG01RSC04B01EE1,1995Q4,0.0416344,1526.876
Industry groups,Wholesale trade,SG01RSC04B01FF1,1995Q4,0.0560645,1832.241
Industry groups,Retail trade,SG01RSC04B01GH1,1995Q4,0.0467210,1345.741
Industry groups,Accommodation services,SG01RSC04B01GH2,1995Q4,0.0180816,716.360
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1995Q4,0.0540741,1488.792
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1995Q4,0.0424079,674.411
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1995Q4,0.0401640,1617.018
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1995Q4,0.0515865,2041.949
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1995Q4,0.0751390,2055.908
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1995Q4,0.0547344,2167.168
Industry groups,Administrative and support services,SG01RSC04B01MN2,1995Q4,0.0154970,640.595
Industry groups,Local Government administration,SG01RSC04B01OO1,1995Q4,0.0047938,168.182
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1995Q4,0.0340140,1222.918
Industry groups,Education and training,SG01RSC04B01PP1,1995Q4,0.0393389,1789.731
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1995Q4,0.0428286,1602.329
